seqnames,start,end,width,strand,Conc,Conc_p53sh_MOF,Conc_Scr_MOF,Fold,p.value,FDR,peak_id
chr1,28510593,28511093,501,*,5.64808871139031,2.94078274126559,6.53318220928077,-2.64068249308041,7.2462410061835e-05,0.0017330593073122,MOF_loss_000001
chr1,171339315,171339815,501,*,11.3015826320948,8.9732538112858,12.1502889806349,-3.14108324696762,4.68962587239662e-80,1.3459226253778298e-77,MOF_loss_000002
chr1,228166144,228166644,501,*,4.91055522618479,0.0,5.91055522618479,-7.09488899622155,2.0450510957933e-07,9.78216107487796e-06,MOF_loss_000003
chr10,69222582,69223082,501,*,5.21786923787278,2.65134675951202,6.09065024371614,-2.5769822100238,6.21183660588916e-05,0.0016207246417183,MOF_loss_000004
chr10,90921079,90921579,501,*,5.24194043967961,3.1818614762108,6.05767742144957,-2.09901439133506,0.0006079602460745,0.0087242295311694,MOF_loss_000005
chr11,44569137,44569637,501,*,6.03689847749432,4.09619899093852,6.83557935751884,-2.07273996331231,0.0004026307548011,0.0069902886184255,MOF_loss_000006
chr13,110485409,110485909,501,*,5.39034248907263,3.69094336952266,6.14914510915867,-1.78370555598548,0.0025426357619489,0.0270272764325684,MOF_loss_000007
chr14,61695035,61695535,501,*,6.36687044646834,4.9570875298769,7.06609484591783,-1.64972979924387,0.0019218283028647,0.0220625889168873,MOF_loss_000008
chr17,76737281,76737781,501,*,5.0734789786651,3.43559927065263,5.82079902179179,-1.68455965703978,0.0050515994754932,0.0426414426313696,MOF_loss_000009
chr17,81966760,81967260,501,*,6.74875828571348,5.13965439581289,7.49050405703195,-1.8500403622204,0.0006003879243093,0.0087242295311694,MOF_loss_000010
chr2,65366536,65367036,501,*,6.60175839951393,5.43562746726671,7.2381024651692,-1.49149559410169,0.0016694213855373,0.0199634974020511,MOF_loss_000011
chr2,111705755,111706255,501,*,6.80912910163785,5.97329212031461,7.33493949708163,-1.18618038914117,0.0037402344404071,0.0335452276374014,MOF_loss_000012
chr2,219279041,219279541,501,*,6.21328825559987,5.02051164269912,6.857181273014,-1.47566704417919,0.0033521406319789,0.0335452276374014,MOF_loss_000013
chr20,41099898,41100398,501,*,8.33034294543986,4.83887426908927,9.26473672132007,-4.0602077749731,1.50249329273936e-13,1.0780389375404898e-11,MOF_loss_000014
chr20,41113809,41114309,501,*,8.53439340772823,5.08123647431443,9.46697973554093,-4.04130544232464,3.90320682265329e-14,3.73406786033831e-12,MOF_loss_000015
chr21,7945318,7945818,501,*,3.01858768558148,0.0,4.01858768558148,-2.22972398872206,0.0040529616829363,0.0352484849394763,MOF_loss_000016
chr22,46035720,46036220,501,*,6.08034470384485,4.72937994108867,6.7655853717257,-1.56824918627662,0.0035742897017628,0.0335452276374014,MOF_loss_000017
chr6,26157332,26157832,501,*,5.72089085344769,3.43552407698744,6.56476760091474,-2.24782815765364,0.0004140589077116,0.0069902886184255,MOF_loss_000018
chr8,125655637,125656137,501,*,8.56875010436513,7.81903435319453,9.05960697756655,-1.13057532854025,0.001092081352981,0.0149251118240739,MOF_loss_000019
chr9,35111415,35111915,501,*,6.2834570739371,4.90776330435706,6.97466304903593,-1.58200003802184,0.0036375041690047,0.0335452276374014,MOF_loss_000020
chrGL000194.1,4268,4768,501,*,3.41336010416181,0.0,4.41336010416181,-2.7036673583863,0.0016416490499203,0.0199634974020511,MOF_loss_000021
chrGL000224.1,3605,4105,501,*,7.47963222392018,6.39423129944502,8.09197407155288,-1.3651056946571,0.0060013403957159,0.0492109912448707,MOF_loss_000022
chrGL000225.1,74435,74935,501,*,4.648482154726,0.0665784884244397,5.61804335358547,-3.7878744130308,2.85215448148406e-05,0.0008185683361859,MOF_loss_000023
chrKI270438.1,103828,104328,501,*,10.6423439312322,9.59970132113878,11.2412450692842,-1.59812564584528,8.903122601178101e-16,1.27759809326906e-13,MOF_loss_000024
chrKI270438.1,109164,109664,501,*,10.4500894448231,9.5448090333217,11.0020445005055,-1.40869567770174,1.19428796876583e-10,6.855212940715841e-09,MOF_loss_000025
chrKI270442.1,135029,135529,501,*,4.44854028772782,0.803388700975765,5.38970054831478,-3.05236680273896,0.0001113868750758,0.0024590794728276,MOF_loss_000026
chrKI270442.1,140410,140910,501,*,4.56581496367037,1.06625475783969,5.50058409216156,-2.80556266855643,0.0003002629569961,0.0057450312438601,MOF_loss_000027
chrKI270442.1,157079,157579,501,*,3.23091001916539,0.0,4.23091001916539,-2.73325853172256,0.001539409836913,0.0199634974020511,MOF_loss_000028
chrKI270442.1,180200,180700,501,*,4.2486581371049,0.803155597170885,5.18087728545318,-2.19862961278432,0.0035006617511993,0.0335452276374014,MOF_loss_000029
chrKI270466.1,769,1269,501,*,8.90247610867019,7.29513474690138,9.64387611807801,-2.07745696522368,1.16764559723233e-06,3.72349207117422e-05,MOF_loss_000030
chrKI270467.1,2082,2582,501,*,9.55490287065163,7.52580778395926,10.3663667452264,-2.44957037502323,5.420180417485e-07,2.22227397116885e-05,MOF_loss_000031
chrKI270519.1,113223,113723,501,*,3.48392727493049,0.0,4.48392727493049,-3.39753831588226,0.0004670520334535,0.0074468852000651,MOF_loss_000032
chrML143380.1,48431,48931,501,*,4.21569939884682,0.481615987703284,5.1604454351874,-2.34553437185659,0.0024469061877454,0.027010079841652,MOF_loss_000033
chrML143380.1,79222,79722,501,*,6.5886343320896,0.0,7.5886343320896,-21.5243440013754,6.6403634668442e-07,2.38223039373036e-05,MOF_loss_000034
