gene_id,Gene,chr,start,end,strand,Scramble_rep1,Scramble_rep2,KD_rep1,KD_rep2,Scramble_signal,KD_signal,Difference,log2FC,Direction,Rank_gain,Rank_loss,Rank
ENSG00000183598.4,H3C13,chr1,149813224,149813693,-,0.6948905829935949,0.822264272775223,0.3678609026012136,0.38871287851572545,0.7585774278844089,0.37828689055846954,-0.3802905373259393,-0.3802905373259393,loss,14970,1,1
ENSG00000288825.1,H2AC18,chr1,149842217,149842750,-,0.7564456150858309,0.9157159670656215,0.6073994515201612,0.42354989638919005,0.8360807910757262,0.5154746739546756,-0.3206061171210506,-0.3206061171210506,loss,14969,2,2
ENSG00000276368.2,H2AC14,chr6,27814301,27814777,-,0.6556704436906245,0.5288476043639063,0.26185632827339556,0.2987906544805825,0.5922590240272654,0.28032349137698903,-0.31193553265027635,-0.31193553265027635,loss,14968,3,3
ENSG00000288608.1,ENSG00000288608,chr7,151061927,151061978,+,0.20092376423817054,0.3119451900323232,0.45041871421477375,0.6713262831463533,0.25643447713524686,0.5608724986805635,0.3044380215453167,0.3044380215453167,gain,1,14970,4
ENSG00000204918.3,PRR20B,chr13,57147487,57150509,+,0.1410666307556017,0.03512885931860098,0.3709791880119553,0.40387218474816655,0.08809774503710133,0.3874256863800609,0.2993279413429596,0.2993279413429596,gain,2,14969,5
ENSG00000288859.2,H2AC19,chr1,149851060,149851652,+,0.767450983258518,0.6898498842240991,0.4098825897971118,0.45719828300580784,0.7286504337413086,0.4335404364014598,-0.2951099973398488,-0.2951099973398488,loss,14967,4,6
ENSG00000221821.4,PEX39,chr6,42890264,42890821,-,0.36021958984421226,0.6018845108162136,0.5438782020072375,0.9639964953359197,0.4810520503302129,0.7539373486715786,0.27288529834136566,0.27288529834136566,gain,3,14968,7
ENSG00000204919.1,PRR20A,chr13,57140917,57143939,+,0.08123677442239999,0.12961357292576806,0.32515747384673627,0.3899846741266137,0.10542517367408402,0.357571073986675,0.252145900312591,0.252145900312591,gain,4,14967,8
ENSG00000227151.4,PRR20D,chr13,57160631,57163653,+,0.08025884996121317,0.12747687052032083,0.2524251840814856,0.4425474764436513,0.103867860240767,0.3474863302625685,0.24361847002180148,0.24361847002180148,gain,5,14966,9
ENSG00000289767.1,EBAG9UORF,chr8,109539725,109539800,+,-0.061309799551963806,0.027688733612497646,0.16408533354600272,0.2659733295440674,-0.01681053296973308,0.21502933154503506,0.23183986451476815,0.23183986451476815,gain,6,14965,10
ENSG00000288716.1,ENSG00000288716,chr13,77326904,77326988,-,0.3907950396339099,0.24386809801771528,0.06205129383930138,0.1111249535211495,0.3173315688258126,0.08658812368022543,-0.23074344514558714,-0.23074344514558714,loss,14966,5,11
ENSG00000293564.1,ENSG00000293564,chr1,179882315,179882393,+,0.8403179423931317,0.1556972715143974,0.5497451890737582,0.898978774364178,0.49800760695376456,0.7243619817189682,0.2263543747652036,0.2263543747652036,gain,7,14964,12
ENSG00000197238.5,H4C11,chr6,27824091,27824480,+,0.69512523676252,0.7334732555025341,0.41640181837550777,0.5634422820913761,0.714299246132527,0.48992205023344193,-0.2243771958990851,-0.2243771958990851,loss,14965,6,13
